,Open,Date,High,Low,Close,Volume
358,327.7200012,10/22/2013 0:00,325.6799927,337.1099854,332.5400085,3935500
359,330.8399963,10/23/2013 0:00,324.0599976,331.7200012,326.7600098,2818200
360,329.6300049,10/24/2013 0:00,326.75,332.6499939,332.2099915,5884700
361,358.6000061,10/25/2013 0:00,352.6199951,368.3999939,363.3900146,12036800
362,359.9200134,10/28/2013 0:00,357.2000122,362.75,358.1600037,3635800
363,358.9599915,10/29/2013 0:00,356.2900085,362.8900146,362.7000122,2185400
364,362.6199951,10/30/2013 0:00,358.6499939,365,361.0799866,4502200
365,361.730011,10/31/2013 0:00,359,366,364.0299988,2466800
366,365.6300049,11/1/2013 0:00,356.1000061,365.769989,359,3331000
367,360.1199951,11/4/2013 0:00,354.3999939,361,358.7399902,1938400
368,356.7799988,11/5/2013 0:00,354.8399963,360.1700134,358.8900146,2007100
369,360.4500122,11/6/2013 0:00,354.5,362.8699951,356.1799927,2282300
370,355.8599854,11/7/2013 0:00,341.8800049,357.8999939,343.5599976,4246300
371,345.9500122,11/8/2013 0:00,344.0400085,351.0499878,350.3099976,2656900
372,350.5899963,11/11/2013 0:00,348.0599976,355.3699951,354.3800049,2261700
373,352.9899902,11/12/2013 0:00,347.2799988,355.480011,349.5299988,2343100
374,347.3999939,11/13/2013 0:00,345.6799927,356.2200012,356.2200012,2773300
375,357.3900146,11/14/2013 0:00,356.4299927,368.9400024,367.3999939,4159800
376,367.6300049,11/15/2013 0:00,365.5499878,372.8999939,369.1700134,4491600
377,370.2799988,11/18/2013 0:00,364.6700134,373.4899902,366.1799927,2737400
378,365.8200073,11/19/2013 0:00,362.5,368.7799988,364.9400024,1904800
379,367.5599976,11/20/2013 0:00,360.4500122,367.5599976,362.5700073,1771500
380,364.0499878,11/21/2013 0:00,363.2999878,369.25,368.9200134,1964600
381,370,11/22/2013 0:00,366.3099976,374.5,372.3099976,2965500
382,373.8200073,11/25/2013 0:00,373.1799927,377.7900085,376.6400146,2972300
383,377.6099854,11/26/2013 0:00,374.8200073,382.5,381.3699951,2724400
384,383.5,11/27/2013 0:00,382.6099854,387,386.7099915,2269700
385,389.1000061,11/29/2013 0:00,388.6199951,394.1000061,393.6199951,2406000
386,399,12/2/2013 0:00,389.1000061,399,392.2999878,4714000
387,390.1099854,12/3/2013 0:00,383.1000061,390.9500122,384.6600037,3702900
388,383.5,12/4/2013 0:00,381.4899902,389.6900024,385.9599915,2355300
389,386.6499939,12/5/2013 0:00,381.3699951,386.6499939,384.4899902,1906500
390,388.3500061,12/6/2013 0:00,383.8299866,388.3500061,386.9500122,1984700
391,388.1099854,12/9/2013 0:00,382.5700073,388.2099915,384.8900146,2761800
392,383.7399902,12/10/2013 0:00,383.019989,389.0599976,387.7799988,2736800
393,387.3399963,12/11/2013 0:00,382,388.980011,382.1900024,2451300
394,381.2600098,12/12/2013 0:00,379.5,385,381.25,2123700
395,385.3200073,12/13/2013 0:00,383.7999878,389.4200134,384.2399902,3025000
396,385.0299988,12/16/2013 0:00,385,391.7000122,388.9700012,2251700
397,390.6499939,12/17/2013 0:00,386.5,391.3599854,387.6499939,2343900
398,389.230011,12/18/2013 0:00,383.1000061,396.2999878,395.9599915,3489100
399,394.269989,12/19/2013 0:00,392.6000061,397.2900085,395.1900024,2427200
400,396.5499878,12/20/2013 0:00,395.7799988,404.7200012,402.2000122,5033900
401,403.6900024,12/23/2013 0:00,399.2000122,405,402.9200134,2659500
402,402.519989,12/24/2013 0:00,396.3699951,403.7200012,399.2000122,1380400
403,401.7900085,12/26/2013 0:00,396.8099976,404.519989,404.3900146,1868500
404,404.6499939,12/27/2013 0:00,396.25,405.6300049,398.0799866,1986900
405,399.4100037,12/30/2013 0:00,392.4500122,399.9200134,393.3699951,2487100
406,394.5799866,12/31/2013 0:00,393.7999878,398.8299866,398.7900085,1996500
407,398.7999878,1/2/2014 0:00,394.019989,399.3599854,397.9700012,2137800
408,398.2900085,1/3/2014 0:00,396.2200012,402.7099915,396.4400024,2210200
409,395.8500061,1/6/2014 0:00,388.4200134,397,393.6300049,3170600
410,395.0400085,1/7/2014 0:00,394.2900085,398.4700012,398.0299988,1916000
411,398.4700012,1/8/2014 0:00,396.0400085,403,401.9200134,2316500
412,403.7099915,1/9/2014 0:00,398.4400024,406.8900146,401.0100098,2103000
413,402.5299988,1/10/2014 0:00,393.7999878,403.7600098,397.6600037,2679500
414,397.980011,1/13/2014 0:00,388.4500122,399.7799988,390.980011,2844900
415,392.1300049,1/14/2014 0:00,391.2900085,398.6300049,397.5400085,2340100
416,398.9400024,1/15/2014 0:00,392.5299988,399.3099976,395.8699951,2678300
417,393.6799927,1/16/2014 0:00,389.4100037,399.2900085,395.7999878,2601200
418,394.2600098,1/17/2014 0:00,393.6600037,403.4899902,399.6099854,4505100
419,403,1/21/2014 0:00,401.6000061,407.7999878,407.0499878,3122100
420,408,1/22/2014 0:00,402,408.0599976,404.5400085,2060500
421,401,1/23/2014 0:00,397.7900085,406.1700134,399.8699951,3025400
422,398.1600037,1/24/2014 0:00,387.269989,400.2000122,387.6000061,4458400
423,390.5,1/27/2014 0:00,380.4899902,394.1000061,386.2799988,3936800
424,387.3999939,1/28/2014 0:00,387.1199951,394.7399902,394.4299927,2894500
425,392.1600037,1/29/2014 0:00,383.2399902,392.8500061,384.2000122,3382300
426,393.769989,1/30/2014 0:00,387.7000122,406.25,403.0100098,10473900
427,371.7600098,1/31/2014 0:00,357.7600098,375.4500122,358.6900024,16154800
428,358.980011,2/3/2014 0:00,340.1000061,360.8500061,346.1499939,10280800
429,349.5899963,2/4/2014 0:00,344.019989,354,347.9500122,4812900
430,346,2/5/2014 0:00,337.730011,349.3699951,346.4500122,4435400
431,347.3999939,2/6/2014 0:00,347.3999939,354.8200073,354.5899963,3335700
432,358.980011,2/7/2014 0:00,352.4899902,361.7999878,361.0799866,4330500
433,361.6099854,2/10/2014 0:00,359.3500061,365,360.8699951,3449700
434,361.8399963,2/11/2014 0:00,356.25,363.6099854,361.7900085,3222100
435,356.4299927,2/12/2014 0:00,346.3200073,357.75,349.25,6587700
436,347.7000122,2/13/2014 0:00,346.5,357.2000122,357.2000122,4175000
437,359.3399963,2/14/2014 0:00,353.3500061,359.3399963,357.3500061,3520200
438,355.2799988,2/18/2014 0:00,349.4500122,355.730011,353.6499939,4998000
439,352.6400146,2/19/2014 0:00,346.1000061,354.5400085,347.3800049,4168100
440,348.7999878,2/20/2014 0:00,344.3800049,350.4599915,349.7999878,3492800
441,352.4400024,2/21/2014 0:00,346.75,354.1400146,346.7600098,4210000
442,345.1900024,2/24/2014 0:00,343.2900085,353,351.7799988,3644700
443,353,2/25/2014 0:00,351.5799866,361.0799866,358.3200073,3736400
444,359.8599854,2/26/2014 0:00,357.1700134,364.75,359.7999878,3622100
445,357.2200012,2/27/2014 0:00,355.5,360.5899963,360.1300049,3104900
446,360.6000061,2/28/2014 0:00,357.0799866,365.8699951,362.1000061,3882000
447,358.7399902,3/3/2014 0:00,354.480011,360.9599915,359.7799988,2798300
448,363.8999939,3/4/2014 0:00,362.4599915,365.6799927,363.8999939,2704400
449,364.1300049,3/5/2014 0:00,363.8999939,372.730011,372.3699951,3848300
450,374.0499878,3/6/2014 0:00,368.8999939,375.3299866,372.1600037,2926600
451,374.5799866,3/7/2014 0:00,369.5299988,374.9899902,372.0599976,2279800
452,372.6900024,3/10/2014 0:00,367,372.730011,370.5299988,2105800
453,370.9899902,3/11/2014 0:00,367.2799988,372.7999878,368.8200073,2246100
454,366.3999939,3/12/2014 0:00,363.6099854,371.1600037,370.6400146,2216600
455,376.6199951,3/13/2014 0:00,368.0799866,383.1099854,371.5100098,6829000
456,372.7999878,3/14/2014 0:00,371.5499878,378.5700073,373.7399902,4402200
457,375.7200012,3/17/2014 0:00,374.8800049,378.8500061,375.0400085,2303000
458,377.3200073,3/18/2014 0:00,375,379,378.769989,2483500
459,378.769989,3/19/2014 0:00,369.4200134,379,373.230011,2646700
460,370.6400146,3/20/2014 0:00,366.2200012,373,368.9700012,2558500
461,371,3/21/2014 0:00,358.3999939,372.8399963,360.6199951,5414100
462,360.0899963,3/24/2014 0:00,348.6000061,361.5,351.8500061,4873500
463,354.0299988,3/25/2014 0:00,348.8399963,358.9700012,354.7099915,4445700
464,357.1300049,3/26/2014 0:00,343.3999939,357.6000061,343.4100037,4120700
465,343.1499939,3/27/2014 0:00,330.8800049,344,338.4700012,5766400
466,340.0499878,3/28/2014 0:00,336.0799866,347,338.2900085,3986800
467,342.3999939,3/31/2014 0:00,334.0599976,346.2900085,336.3699951,4297500
468,338.0899963,4/1/2014 0:00,338,344.4299927,342.9899902,3600100
469,345.9899902,4/2/2014 0:00,340.3800049,348.2999878,341.9599915,4475500
470,341.8200073,4/3/2014 0:00,328.4599915,342.5,333.6199951,6399300
471,335.1499939,4/4/2014 0:00,315.6099854,335.4400024,323,12534600
472,320.9899902,4/7/2014 0:00,313.1300049,324.9400024,317.7600098,7077400
473,321.8800049,4/8/2014 0:00,318.4400024,328,327.0700073,6577600
474,328.4700012,4/9/2014 0:00,322.5,332.1799927,331.8099976,5056600
475,330.6000061,4/10/2014 0:00,316.5,331,317.1099854,6126700
476,314,4/11/2014 0:00,309.5,316.5,311.730011,7287500
477,317.6700134,4/14/2014 0:00,311.2799988,320.480011,315.9100037,4293500
478,316.7000122,4/15/2014 0:00,305.5,318.2799988,316.0799866,5398600
479,321.1700134,4/16/2014 0:00,314.7099915,324,323.6799927,4284900
480,319.7600098,4/17/2014 0:00,319.7600098,328.6600037,324.9100037,4299200
481,323.9700012,4/21/2014 0:00,322.3099976,331.1499939,330.8699951,2999400
482,332,4/22/2014 0:00,328.9400024,337.5,329.3200073,3711600
483,333.0599976,4/23/2014 0:00,323.3900146,333.1300049,324.5799866,3604600
484,329.6700134,4/24/2014 0:00,322.9500122,337.3999939,337.1499939,9293700
485,316.25,4/25/2014 0:00,302.7099915,316.4899902,303.8299866,16180200
486,304,4/28/2014 0:00,288,304.3900146,296.5799866,14479800
487,296.4400024,4/29/2014 0:00,290.4500122,301.8399963,300.3800049,6509300
488,298.1000061,4/30/2014 0:00,298.1000061,304.5599976,304.1300049,4088600
489,304.1300049,5/1/2014 0:00,304,310.480011,307.8900146,4328600
490,310.4200134,5/2/2014 0:00,304.3099976,313.2900085,308.0100098,3995100
491,306.3699951,5/5/2014 0:00,305,310.230011,310.0499878,2519900
492,309.5299988,5/6/2014 0:00,297.0400085,309.8099976,297.3800049,4682300
493,295.5599976,5/7/2014 0:00,286.6799927,296.3999939,292.7099915,7015200
494,290.8200073,5/8/2014 0:00,287.230011,295.8800049,288.3200073,3848200
495,290.5700073,5/9/2014 0:00,284.3800049,293.6799927,292.2399902,4063000
496,294.2999878,5/12/2014 0:00,294.1600037,303.3399963,302.8599854,3729600
497,302.6000061,5/13/2014 0:00,300.75,305.6000061,304.6400146,3509900
498,302.5,5/14/2014 0:00,296.6600037,304.6400146,297.6199951,3323300
499,298.019989,5/15/2014 0:00,290.3800049,299.2000122,295.1900024,4295100
500,292.7999878,5/16/2014 0:00,291.5499878,298.8800049,297.7000122,3636800
501,295.7600098,5/19/2014 0:00,293.8099976,299,296.7600098,2284200
502,297.1000061,5/20/2014 0:00,296.75,304.4599915,301.1900024,4095700
503,302.2099915,5/21/2014 0:00,301.519989,305.9599915,305.0100098,3408800
504,305.0499878,5/22/2014 0:00,303.0100098,308.5400085,304.9100037,2576800
505,305.4599915,5/23/2014 0:00,304.8999939,312.3500061,312.2399902,3052900
506,314.4100037,5/27/2014 0:00,307.3800049,314.6300049,310.8200073,4862100
507,309.5,5/28/2014 0:00,307.4200134,313.8200073,310.1600037,2726000
508,310.4200134,5/29/2014 0:00,310.2000122,314.8699951,313.7799988,2365500
509,314.4299927,5/30/2014 0:00,307.5700073,314.6499939,312.5499878,4260200
510,312.5899963,6/2/2014 0:00,307,312.6000061,308.8399963,2203400
511,305.75,6/3/2014 0:00,305.0700073,307.9200134,307.1900024,2379200
512,306.8500061,6/4/2014 0:00,303.8399963,309.5,306.7799988,2107100
513,308.1000061,6/5/2014 0:00,306.8999939,327.9400024,323.5700073,7796700
